#1
double	HDU(8761,11) #T_Aussen	Q_Lueft	Q_Heiz	Raumtemp	Te_gl	Q_el_tot	CO2	Raumfeuchte	Strom	TWW	
7304400	3.8	-1.86	0.00	23.54	6.50	6.11	876.64	38.42	346.65	0.70	
7308000	6.7	-1.61	0.00	23.86	6.50	5.50	893.83	37.79	301.72	0.70	
7311600	4.9	-1.72	0.00	23.40	6.50	5.16	905.94	38.81	269.89	0.70	
7315200	7.9	-1.52	0.00	24.08	6.50	5.42	914.47	37.44	252.64	0.70	
7318800	5.4	-1.70	0.00	23.66	6.50	10.55	969.09	38.38	276.85	0.70	
7322400	4.5	-1.76	0.00	23.36	6.50	11.95	1044.02	39.11	344.74	3.50	
7326000	4.8	-1.71	0.00	23.12	6.50	8.15	1096.83	39.74	409.18	3.50	
7329600	4.6	-1.70	0.00	22.86	6.50	7.53	1134.04	40.42	399.96	3.50	
7333200	5.1	-1.63	0.00	22.60	6.50	6.60	1160.27	41.06	371.16	3.50	
7336800	5.3	-1.58	0.00	22.32	6.50	5.25	1178.74	41.76	322.97	1.40	
7340400	4.9	-1.59	0.00	21.99	6.50	3.74	1191.77	42.59	238.60	0.00	
7344000	4.6	-1.58	0.00	21.66	5.99	2.76	1200.94	43.44	158.51	0.00	
7347600	5.5	-1.47	0.00	21.39	5.99	2.36	1207.41	44.15	117.04	0.00	
7351200	5.7	-1.43	0.00	21.12	5.99	2.24	1211.97	44.90	105.37	0.00	
7354800	5.7	-1.41	0.00	20.87	5.99	2.26	1215.18	45.66	102.58	0.00	
7358400	5.2	-1.43	0.00	20.61	5.99	2.53	1217.44	46.46	104.84	0.00	
7362000	5.6	-1.38	0.00	20.43	5.99	7.80	1219.03	47.05	125.25	0.00	
7365600	5.5	-1.38	0.00	20.31	5.99	9.50	1220.16	47.53	221.16	2.10	
7369200	6.2	-1.31	0.00	20.25	5.99	10.39	1184.50	47.79	308.75	35.00	
7372800	7.1	-1.24	0.00	20.31	5.99	6.47	1135.07	47.72	327.19	0.70	
7376400	9.7	-1.02	0.00	20.51	5.99	6.17	1075.94	47.35	323.56	0.70	
7380000	10.6	-0.95	0.00	20.67	5.99	6.10	997.82	47.10	314.28	0.70	
7383600	11.6	-0.88	0.00	20.95	5.99	6.58	942.77	46.58	317.14	0.70	
7387200	12.7	-0.81	0.00	21.22	5.99	10.19	903.98	46.09	356.05	11.20	
7390800	13.3	-0.77	0.00	21.44	5.99	6.11	876.64	45.75	346.65	0.70	
7394400	13.2	-0.79	0.00	21.60	5.99	5.50	893.83	45.63	301.72	0.70	
7398000	14	-0.74	0.00	21.78	5.99	5.16	905.94	45.44	269.89	0.70	
7401600	13.2	-0.81	0.00	21.80	5.99	5.42	914.47	45.69	252.64	0.70	
7405200	11	-1.02	0.00	21.82	5.99	10.13	969.09	45.99	276.85	0.70	
7408800	11.1	-1.00	0.00	21.75	5.99	11.46	1044.02	46.55	344.74	3.50	
7412400	11	-1.01	0.00	21.68	5.99	8.15	1096.83	47.10	409.18	3.50	
7416000	10.4	-1.05	0.00	21.57	5.99	7.53	1134.04	47.71	399.96	3.50	
7419600	10.3	-1.05	0.00	21.45	5.99	6.60	1160.27	48.38	371.16	3.50	
7423200	9.7	-1.08	0.00	21.26	5.99	5.25	1178.74	49.19	322.97	1.40	
7426800	9.2	-1.10	0.00	21.04	5.99	3.74	1191.77	50.09	238.60	0.00	
7430400	8.9	-1.11	0.00	20.81	6.73	2.76	1200.94	50.99	158.51	0.00	
7434000	8.9	-1.09	0.00	20.61	6.73	2.36	1207.41	51.84	117.04	0.00	
7437600	8.7	-1.09	0.00	20.40	6.73	2.24	1211.97	52.71	105.37	0.00	
7441200	8.7	-1.07	0.00	20.21	6.73	2.26	1215.18	53.53	102.58	0.00	
7444800	9.1	-1.03	1.09	20.14	6.73	2.83	1217.44	53.99	104.84	0.00	
7448400	11	-0.86	0.86	20.11	6.73	7.62	1219.03	54.38	125.25	0.00	
7452000	12.1	-0.76	0.00	20.12	6.73	9.00	1220.16	54.57	221.16	2.10	
7455600	12	-0.78	0.00	20.25	6.73	9.96	1184.50	54.32	308.75	35.00	
7459200	9	-1.08	0.00	20.43	6.73	6.47	1135.07	53.82	327.19	0.70	
7462800	9	-1.13	0.00	21.00	6.73	6.17	1075.94	52.08	323.56	0.70	
7466400	9.6	-1.17	0.00	21.89	6.73	6.10	997.82	49.34	314.28	0.70	
7470000	11.2	-0.97	0.00	21.52	6.73	6.58	942.77	50.20	317.14	0.70	
7473600	12	-0.91	0.00	21.69	6.73	10.24	903.98	49.56	356.05	11.20	
7477200	12	-0.92	0.00	21.81	6.73	6.11	876.64	49.02	346.65	0.70	
7480800	13.4	-0.81	0.00	21.98	6.73	5.50	893.83	48.35	301.72	0.70	
7484400	12.9	-0.85	0.00	21.91	6.73	5.16	905.94	48.33	269.89	0.70	
7488000	13	-0.86	0.00	22.16	6.73	5.42	914.47	47.42	252.64	0.70	
7491600	12.4	-0.94	0.00	22.32	6.73	10.03	969.09	46.84	276.85	0.70	
7495200	11.8	-0.98	0.00	22.22	6.73	11.41	1044.02	47.00	344.74	3.50	
7498800	11.2	-1.03	0.00	22.14	6.73	8.15	1096.83	47.10	409.18	3.50	
7502400	10.6	-1.07	0.00	22.03	6.73	7.53	1134.04	47.27	399.96	3.50	
7506000	10.3	-1.09	0.00	21.90	6.73	6.60	1160.27	47.53	371.16	3.50	
7509600	9.8	-1.11	0.00	21.71	6.73	5.25	1178.74	47.96	322.97	1.40	
7513200	10.2	-1.06	0.00	21.52	6.73	3.74	1191.77	48.37	238.60	0.00	
7516800	9.8	-1.07	0.00	21.31	7.85	2.76	1200.94	48.88	158.51	0.00	
7520400	9.7	-1.06	0.00	21.13	7.85	2.36	1207.41	49.35	117.04	0.00	
7524000	9.1	-1.10	0.00	20.92	7.85	2.24	1211.97	49.87	105.37	0.00	
7527600	8.7	-1.12	0.00	20.73	7.85	2.26	1215.18	50.39	102.58	0.00	
7531200	8.4	-1.13	0.00	20.54	7.85	2.53	1217.44	50.88	104.84	0.00	
7534800	8.3	-1.13	0.00	20.41	7.85	7.60	1219.03	51.21	125.25	0.00	
7538400	6.9	-1.25	0.00	20.30	7.85	9.39	1220.16	51.60	221.16	2.10	
7542000	6.6	-1.28	0.00	20.31	7.85	10.36	1184.50	51.55	308.75	35.00	
7545600	7.2	-1.25	0.00	20.51	7.85	6.47	1135.07	50.93	327.19	0.70	
7549200	8.5	-1.19	0.00	21.11	7.85	6.17	1075.94	49.14	323.56	0.70	
7552800	9	-1.18	0.00	21.47	7.85	6.10	997.82	47.97	314.28	0.70	
7556400	10.6	-1.00	0.00	21.28	7.85	6.58	942.77	48.34	317.14	0.70	
7560000	8.4	-1.33	0.00	22.44	7.85	10.51	903.98	45.18	356.05	11.20	
7563600	10.5	-1.08	0.00	22.01	7.85	6.11	876.64	46.30	346.65	0.70	
7567200	10.9	-1.04	0.00	21.99	7.85	5.50	893.83	46.24	301.72	0.70	
7570800	7.4	-1.40	0.00	22.37	7.85	5.16	905.94	45.16	269.89	0.70	
7574400	7.2	-1.46	0.00	22.73	7.85	5.42	914.47	44.27	252.64	0.70	
7578000	8.9	-1.28	0.00	22.56	7.85	10.29	969.09	44.78	276.85	0.70	
7581600	8.4	-1.31	0.00	22.38	7.85	11.66	1044.02	45.37	344.74	3.50	
7585200	7.8	-1.35	0.00	22.22	7.85	8.15	1096.83	45.80	409.18	3.50	
7588800	7.6	-1.35	0.00	22.04	7.85	7.53	1134.04	46.29	399.96	3.50	
7592400	7.5	-1.34	0.00	21.84	7.85	6.60	1160.27	46.83	371.16	3.50	
7596000	6.6	-1.40	0.00	21.57	7.85	5.25	1178.74	47.56	322.97	1.40	
7599600	6.2	-1.40	0.00	21.29	7.85	3.74	1191.77	48.33	238.60	0.00	
7603200	6	-1.39	0.00	21.01	8.02	2.76	1200.94	49.12	158.51	0.00	
7606800	4.9	-1.47	0.00	20.71	8.02	2.36	1207.41	50.00	117.04	0.00	
7610400	4.7	-1.46	0.00	20.42	8.02	2.24	1211.97	50.86	105.37	0.00	
7614000	4.9	-1.42	0.42	20.19	8.02	2.40	1215.18	51.56	102.58	0.00	
7617600	5.1	-1.40	2.26	20.10	8.02	3.24	1217.44	51.86	104.84	0.00	
7621200	4.2	-1.49	3.56	20.02	8.02	9.06	1219.03	52.11	125.25	0.00	
7624800	3.8	-1.52	4.01	19.96	8.02	10.93	1220.16	52.30	221.16	2.10	
7628400	2.6	-1.63	3.79	19.94	8.02	11.95	1184.50	52.29	308.75	35.00	
7632000	4.7	-1.44	0.00	20.08	8.02	6.47	1135.07	51.81	327.19	0.70	
7635600	4.6	-1.50	0.00	20.53	8.02	6.17	1075.94	50.33	323.56	0.70	
7639200	6	-1.43	0.00	21.15	8.02	6.10	997.82	48.36	314.28	0.70	
7642800	7.1	-1.40	0.00	21.90	8.02	6.58	942.77	46.05	317.14	0.70	
7646400	7.8	-1.36	0.00	22.25	8.02	10.56	903.98	44.86	356.05	11.20	
7650000	7.4	-1.43	0.00	22.63	8.02	6.11	876.64	43.61	346.65	0.70	
7653600	6.4	-1.50	0.00	22.48	8.02	5.50	893.83	43.79	301.72	0.70	
7657200	4.4	-1.68	0.00	22.36	8.02	5.16	905.94	43.98	269.89	0.70	
7660800	3.2	-1.77	0.00	22.15	8.02	5.42	914.47	44.39	252.64	0.70	
7664400	2.9	-1.77	0.00	21.94	8.02	10.74	969.09	44.88	276.85	0.70	
7668000	3.2	-1.73	0.00	21.74	8.02	12.05	1044.02	45.42	344.74	3.50	
7671600	3.9	-1.65	0.00	21.55	8.02	8.15	1096.83	45.97	409.18	3.50	
7675200	5.5	-1.48	0.00	21.38	8.02	7.53	1134.04	46.51	399.96	3.50	
7678800	7	-1.33	0.00	21.21	8.02	6.60	1160.27	47.07	371.16	3.50	
7682400	8.4	-1.18	0.00	21.05	8.02	5.25	1178.74	47.67	322.97	1.40	
7686000	6.1	-1.36	0.00	20.75	8.02	3.74	1191.77	48.57	238.60	0.00	
7689600	5.4	-1.40	0.00	20.49	7.33	3.45	1200.94	49.34	174.10	0.00	
7693200	5.2	-1.39	0.00	20.20	7.33	2.72	1207.41	50.20	133.99	0.00	
7696800	5.1	-1.40	2.41	20.10	7.33	3.16	1211.97	50.54	110.55	0.00	
7700400	5.2	-1.39	4.30	20.02	7.33	3.66	1215.18	50.82	104.18	0.00	
7704000	5.2	-1.39	5.97	19.95	7.33	4.13	1217.44	51.09	102.70	0.00	
7707600	7	-1.23	6.41	19.91	7.33	8.17	1219.03	51.30	107.46	0.00	
7711200	5.6	-1.36	7.28	19.87	7.33	9.19	1220.16	51.53	139.41	0.00	
7714800	5.2	-1.39	6.76	19.86	7.33	10.45	1184.50	51.61	221.94	4.90	
7718400	6.3	-1.29	3.97	19.92	7.33	7.43	1135.07	51.49	308.63	4.90	
7722000	7	-1.23	0.86	20.00	7.33	8.07	1075.94	51.25	357.89	2.80	
7725600	9.3	-1.04	0.00	20.32	7.33	8.97	997.82	50.40	388.59	2.80	
7729200	9.3	-1.12	0.00	21.11	7.33	9.55	942.77	48.22	408.94	2.80	
7732800	8.9	-1.16	0.00	21.18	7.33	12.43	903.98	48.12	431.67	2.80	
7736400	9	-1.25	0.00	22.17	7.33	7.17	876.64	45.52	422.33	2.80	
7740000	11.4	-0.97	0.00	21.76	7.33	6.05	893.83	46.73	383.83	2.80	
7743600	10.4	-1.10	0.00	22.09	7.33	5.30	905.94	45.80	353.85	7.00	
7747200	10.1	-1.12	0.00	22.02	7.33	5.21	914.47	46.05	348.73	7.00	
7750800	9.5	-1.17	0.00	21.99	7.33	9.89	969.09	46.21	379.31	8.40	
7754400	5.9	-1.48	0.00	21.75	7.33	11.36	1044.02	46.86	436.19	8.40	
7758000	5.2	-1.53	0.00	21.55	7.33	7.69	1096.83	47.40	471.36	8.40	
7761600	4.6	-1.56	0.00	21.32	7.33	7.14	1134.04	48.02	429.29	1.40	
7765200	4.3	-1.56	0.00	21.08	7.33	6.34	1160.27	48.69	350.63	1.40	
7768800	4.6	-1.51	0.00	20.81	7.33	5.08	1178.74	49.47	329.81	1.40	
7772400	5.4	-1.41	0.00	20.55	7.33	3.72	1191.77	50.22	277.27	0.00	
7776000	6.6	-1.27	0.00	20.30	7.32	3.45	1200.94	51.02	200.57	0.00	
7779600	7.6	-1.17	0.96	20.15	7.32	3.00	1207.41	51.57	148.04	0.00	
7783200	8.4	-1.10	2.55	20.08	7.32	3.13	1211.97	51.90	116.32	0.00	
7786800	8.7	-1.07	3.82	20.03	7.32	3.38	1215.18	52.20	105.37	0.00	
7790400	8.8	-1.06	4.79	19.98	7.32	3.59	1217.44	52.48	102.76	0.00	
7794000	8.8	-1.06	5.43	19.95	7.32	7.65	1219.03	52.71	102.99	0.00	
7797600	8.8	-1.06	5.46	19.93	7.32	8.21	1220.16	52.88	108.83	0.00	
7801200	9.6	-0.99	3.35	19.98	7.32	8.91	1184.50	52.79	156.01	4.90	
7804800	10	-0.96	0.00	20.15	7.32	6.23	1135.07	52.31	264.72	4.90	
7808400	10	-1.03	0.00	20.88	7.32	7.81	1075.94	50.13	379.67	2.80	
7812000	11.5	-0.88	0.00	20.74	7.32	8.97	997.82	50.52	440.48	2.80	
7815600	12	-0.84	0.00	20.86	7.32	9.55	942.77	50.09	488.32	2.80	
7819200	13.5	-0.71	0.00	20.99	7.32	12.09	903.98	49.68	494.56	2.80	
7822800	14.5	-0.63	0.00	21.15	7.32	7.17	876.64	49.18	401.33	2.80	
7826400	16.1	-0.50	0.00	21.36	7.32	6.05	893.83	48.58	324.28	2.80	
7830000	16	-0.54	0.00	21.69	7.32	5.30	905.94	47.71	288.04	7.00	
7833600	15.5	-0.61	0.00	21.86	7.32	5.21	914.47	47.28	255.37	7.00	
7837200	16	-0.57	0.00	21.98	7.32	9.40	969.09	47.08	265.97	8.40	
7840800	15.5	-0.62	0.00	21.99	7.32	10.64	1044.02	47.24	327.37	8.40	
7844400	14.5	-0.71	0.00	21.96	7.32	7.69	1096.83	47.47	383.00	8.40	
7848000	13.5	-0.80	0.00	21.91	7.32	7.14	1134.04	47.78	368.31	1.40	
7851600	13.2	-0.81	0.00	21.84	7.32	6.34	1160.27	48.15	342.54	1.40	
7855200	11.5	-0.95	0.00	21.68	7.32	5.08	1178.74	48.62	303.75	1.40	
7858800	10.5	-1.02	0.00	21.48	7.32	3.72	1191.77	49.17	223.66	0.00	
7862400	10.9	-0.97	0.00	21.30	8.59	2.76	1200.94	49.73	158.51	0.00	
7866000	10.7	-0.97	0.00	21.13	8.59	2.36	1207.41	50.26	117.04	0.00	
7869600	11	-0.93	0.00	20.99	8.59	2.24	1211.97	50.77	105.37	0.00	
7873200	10.5	-0.96	0.00	20.83	8.59	2.26	1215.18	51.28	102.58	0.00	
7876800	10	-0.99	0.00	20.67	8.59	2.53	1217.44	51.72	104.84	0.00	
7880400	10.1	-0.98	0.00	20.58	8.59	7.46	1219.03	51.99	125.25	0.00	
7884000	10	-0.99	0.00	20.54	8.59	9.16	1220.16	52.12	221.16	2.10	
7887600	9	-1.08	0.00	20.54	8.59	10.19	1184.50	52.15	308.75	35.00	
7891200	9.5	-1.07	0.00	20.85	8.59	6.47	1135.07	51.17	327.19	0.70	
7894800	11	-0.96	0.00	21.16	8.59	6.17	1075.94	50.19	323.56	0.70	
7898400	12.5	-0.80	0.00	21.03	8.59	6.10	997.82	50.43	314.28	0.70	
7902000	14	-0.69	0.00	21.30	8.59	6.58	942.77	49.51	317.14	0.70	
7905600	16.3	-0.51	0.00	21.56	8.59	9.92	903.98	48.61	356.05	11.20	
7909200	17.3	-0.44	0.00	21.87	8.59	6.11	876.64	47.61	346.65	0.70	
7912800	18.1	-1.32	0.00	22.07	8.59	5.50	893.83	46.98	301.72	0.70	
7916400	18.8	-1.25	0.00	22.52	8.59	5.16	905.94	45.72	269.89	0.70	
7920000	18.5	-1.40	0.00	22.71	8.59	5.42	914.47	45.16	252.64	0.70	
7923600	17.9	-0.49	0.00	23.01	8.59	9.61	969.09	44.36	276.85	0.70	
7927200	16.6	-0.61	0.00	23.01	8.59	11.05	1044.02	44.36	344.74	3.50	
7930800	15.6	-0.70	0.00	22.97	8.59	8.15	1096.83	44.47	409.18	3.50	
7934400	14.2	-0.82	0.00	22.92	8.59	7.53	1134.04	44.70	399.96	3.50	
7938000	13.5	-0.88	0.00	22.82	8.59	6.60	1160.27	45.03	371.16	3.50	
7941600	12.8	-0.93	0.00	22.68	8.59	5.25	1178.74	45.49	322.97	1.40	
7945200	12.1	-0.97	0.00	22.49	8.59	3.74	1191.77	46.10	238.60	0.00	
7948800	11.8	-0.98	0.00	22.29	9.97	2.76	1200.94	46.68	158.51	0.00	
7952400	11	-1.03	0.00	22.09	9.97	2.36	1207.41	47.29	117.04	0.00	
7956000	10.9	-1.02	0.00	21.91	9.97	2.24	1211.97	47.85	105.37	0.00	
7959600	10.6	-1.03	0.00	21.72	9.97	2.26	1215.18	48.41	102.58	0.00	
7963200	10.1	-1.06	0.00	21.52	9.97	2.53	1217.44	49.01	104.84	0.00	
7966800	9.9	-1.07	0.00	21.41	9.97	7.48	1219.03	49.38	125.25	0.00	
7970400	10.1	-1.06	0.00	21.38	9.97	9.15	1220.16	49.46	221.16	2.10	
7974000	10.5	-1.03	0.00	21.49	9.97	10.07	1184.50	49.13	308.75	35.00	
7977600	11.3	-0.99	0.00	21.80	9.97	6.47	1135.07	48.18	327.19	0.70	
7981200	10.9	-1.04	0.00	21.90	9.97	6.17	1075.94	47.84	323.56	0.70	
7984800	10.8	-1.06	0.00	22.04	9.97	6.10	997.82	47.44	314.28	0.70	
7988400	10.4	-1.12	0.00	22.25	9.97	6.58	942.77	46.90	317.14	0.70	
7992000	10.3	-1.11	0.00	22.12	9.97	10.37	903.98	47.34	356.05	11.20	
7995600	10.9	-1.05	0.00	22.11	9.97	6.11	876.64	47.38	346.65	0.70	
7999200	12.7	-0.90	0.00	22.22	9.97	5.50	893.83	47.11	301.72	0.70	
8002800	13.8	-0.80	0.00	22.25	9.97	5.16	905.94	47.01	269.89	0.70	
8006400	13.6	-0.84	0.00	22.52	9.97	5.42	914.47	46.29	252.64	0.70	
8010000	9.1	-1.25	0.00	22.39	9.97	10.27	969.09	46.74	276.85	0.70	
8013600	10.5	-1.11	0.00	22.33	9.97	11.50	1044.02	47.04	344.74	3.50	
8017200	8.1	-1.31	0.00	22.13	9.97	8.15	1096.83	47.73	409.18	3.50	
8020800	8.6	-1.25	0.00	21.99	9.97	7.53	1134.04	48.20	399.96	3.50	
8024400	8.5	-1.24	0.00	21.80	9.97	6.60	1160.27	48.82	371.16	3.50	
8028000	8	-1.27	0.00	21.58	9.97	5.25	1178.74	49.49	322.97	1.40	
8031600	7.5	-1.29	0.00	21.32	9.97	3.74	1191.77	50.26	238.60	0.00	
8035200	7.3	-1.28	0.00	21.05	10.08	2.76	1200.94	51.07	158.51	0.00	
8038800	6.8	-1.30	0.00	20.78	10.08	2.36	1207.41	51.90	117.04	0.00	
8042400	6.3	-1.32	0.00	20.51	10.08	2.24	1211.97	52.71	105.37	0.00	
8046000	5.9	-1.33	0.00	20.23	10.08	2.26	1215.18	53.53	102.58	0.00	
8049600	5	-1.41	2.12	20.11	10.08	3.20	1217.44	53.88	104.84	0.00	
8053200	5.1	-1.40	3.09	20.04	10.08	8.81	1219.03	54.07	125.25	0.00	
8056800	5.1	-1.40	2.89	20.00	10.08	10.43	1220.16	54.15	221.16	2.10	
8060400	6	-1.32	0.00	20.09	10.08	10.41	1184.50	53.76	308.75	35.00	
8064000	8.4	-1.17	0.00	20.82	10.08	6.47	1135.07	51.46	327.19	0.70	
8067600	10.4	-1.00	0.00	21.00	10.08	6.17	1075.94	50.81	323.56	0.70	
8071200	12.1	-0.84	0.00	21.01	10.08	6.10	997.82	50.58	314.28	0.70	
8074800	13.1	-0.76	0.00	21.17	10.08	6.58	942.77	49.93	317.14	0.70	
8078400	14.4	-0.67	0.00	21.46	10.08	10.06	903.98	48.86	356.05	11.20	
8082000	14.1	-0.71	0.00	21.56	10.08	6.11	876.64	48.31	346.65	0.70	
8085600	14.4	-0.69	0.00	21.73	10.08	5.50	893.83	47.62	301.72	0.70	
8089200	14.6	-0.68	0.00	21.78	10.08	5.16	905.94	47.22	269.89	0.70	
8092800	14.5	-0.72	0.00	22.08	10.08	5.42	914.47	46.19	252.64	0.70	
8096400	14.2	-0.74	0.00	22.06	10.08	9.89	969.09	46.07	276.85	0.70	
8100000	13.8	-0.78	0.00	22.06	10.08	11.26	1044.02	45.89	344.74	3.50	
8103600	13.4	-0.82	0.00	22.05	10.08	8.15	1096.83	45.80	409.18	3.50	
8107200	11.8	-0.96	0.00	21.95	10.08	7.53	1134.04	46.04	399.96	3.50	
8110800	9.7	-1.13	0.00	21.78	10.08	6.60	1160.27	46.60	371.16	3.50	
8114400	9.7	-1.11	0.00	21.60	10.08	5.25	1178.74	47.08	322.97	1.40	
8118000	9.1	-1.14	0.00	21.38	10.08	3.74	1191.77	47.70	238.60	0.00	
8121600	8.9	-1.14	0.00	21.16	10.11	2.76	1200.94	48.33	158.51	0.00	
8125200	8.2	-1.18	0.00	20.92	10.11	2.36	1207.41	49.08	117.04	0.00	
8128800	8.3	-1.15	0.00	20.71	10.11	2.24	1211.97	49.77	105.37	0.00	
8132400	8.2	-1.14	0.00	20.49	10.11	2.26	1215.18	50.46	102.58	0.00	
8136000	8.1	-1.14	0.00	20.31	10.11	2.53	1217.44	51.07	104.84	0.00	
8139600	8	-1.13	0.05	20.17	10.11	7.64	1219.03	51.55	125.25	0.00	
8143200	8.2	-1.12	0.04	20.12	10.11	9.30	1220.16	51.75	221.16	2.10	
8146800	8.6	-1.10	0.00	20.32	10.11	10.22	1184.50	51.20	308.75	35.00	
8150400	9	-1.12	0.00	20.85	10.11	6.47	1135.07	49.63	327.19	0.70	
8154000	9.9	-1.09	0.00	21.40	10.11	6.17	1075.94	48.01	323.56	0.70	
8157600	11.1	-0.95	0.00	21.22	10.11	6.10	997.82	48.41	314.28	0.70	
8161200	12.3	-0.86	0.00	21.38	10.11	6.58	942.77	47.82	317.14	0.70	
8164800	12.9	-0.82	0.00	21.55	10.11	10.18	903.98	47.16	356.05	11.20	
8168400	13.6	-0.77	0.00	21.69	10.11	6.11	876.64	46.55	346.65	0.70	
8172000	13.9	-0.75	0.00	21.81	10.11	5.50	893.83	46.05	301.72	0.70	
8175600	14.1	-0.73	0.00	21.87	10.11	5.16	905.94	45.70	269.89	0.70	
8179200	14	-0.77	0.00	22.18	10.11	5.42	914.47	44.75	252.64	0.70	
8182800	12.4	-0.95	0.00	22.42	10.11	10.03	969.09	44.04	276.85	0.70	
8186400	12.3	-0.94	0.00	22.28	10.11	11.37	1044.02	44.33	344.74	3.50	
8190000	10.8	-1.07	0.00	22.16	10.11	8.15	1096.83	44.62	409.18	3.50	
8193600	9.6	-1.16	0.00	21.99	10.11	7.53	1134.04	45.05	399.96	3.50	
8197200	8.3	-1.26	0.00	21.78	10.11	6.60	1160.27	45.59	371.16	3.50	
8200800	8.9	-1.19	0.00	21.59	10.11	5.25	1178.74	46.12	322.97	1.40	
8204400	8.2	-1.22	0.00	21.33	10.11	3.74	1191.77	46.84	238.60	0.00	
8208000	7.6	-1.25	0.00	21.07	10.32	2.76	1200.94	47.56	158.51	0.00	
8211600	6.9	-1.29	0.00	20.80	10.32	2.36	1207.41	48.30	117.04	0.00	
8215200	6.3	-1.32	0.00	20.53	10.32	2.24	1211.97	49.08	105.37	0.00	
8218800	6	-1.32	0.00	20.27	10.32	2.26	1215.18	49.86	102.58	0.00	
8222400	6.1	-1.31	1.36	20.14	10.32	2.95	1217.44	50.26	104.84	0.00	
8226000	6.1	-1.31	2.43	20.07	10.32	8.50	1219.03	50.51	125.25	0.00	
8229600	6.5	-1.27	2.29	20.03	10.32	10.11	1220.16	50.69	221.16	2.10	
8233200	7	-1.23	0.76	20.05	10.32	10.56	1184.50	50.62	308.75	35.00	
8236800	7.6	-1.21	0.00	20.46	10.32	6.47	1135.07	49.46	327.19	0.70	
8240400	8.8	-1.16	0.00	21.08	10.32	6.17	1075.94	47.74	323.56	0.70	
8244000	10.6	-0.96	0.00	20.81	10.32	6.10	997.82	48.50	314.28	0.70	
8247600	11.5	-0.89	0.00	20.95	10.32	6.58	942.77	48.14	317.14	0.70	
8251200	11.8	-0.88	0.00	21.09	10.32	10.26	903.98	47.77	356.05	11.20	
8254800	13.5	-0.74	0.00	21.29	10.32	6.11	876.64	47.14	346.65	0.70	
8258400	15.9	-0.53	0.00	21.48	10.32	5.50	893.83	46.56	301.72	0.70	
8262000	15.1	-0.62	0.00	21.60	10.32	5.16	905.94	46.18	269.89	0.70	
8265600	14.8	-0.67	0.00	21.82	10.32	5.42	914.47	45.53	252.64	0.70	
8269200	13.9	-0.77	0.00	22.03	10.32	9.91	969.09	44.96	276.85	0.70	
8272800	13.3	-0.82	0.00	21.94	10.32	11.29	1044.02	45.23	344.74	3.50	
8276400	11.6	-0.97	0.00	21.84	10.32	8.15	1096.83	45.54	409.18	3.50	
8280000	11.9	-0.93	0.00	21.78	10.32	7.53	1134.04	45.72	399.96	3.50	
8283600	11	-1.00	0.00	21.66	10.32	6.60	1160.27	46.03	371.16	3.50	
8287200	11.3	-0.96	0.00	21.51	10.32	5.25	1178.74	46.43	322.97	1.40	
8290800	11	-0.97	0.00	21.33	10.32	3.74	1191.77	46.92	238.60	0.00	
8294400	10.5	-1.00	0.00	21.17	10.55	3.45	1200.94	47.39	174.10	0.00	
8298000	10.6	-0.97	0.00	21.00	10.55	2.72	1207.41	47.90	133.99	0.00	
8301600	16.5	-0.43	0.00	21.06	10.55	2.41	1211.97	47.74	110.55	0.00	
8305200	8	-1.18	0.00	20.72	10.55	2.32	1215.18	48.85	104.18	0.00	
8308800	8	-1.16	0.00	20.52	10.55	2.26	1217.44	49.55	102.70	0.00	
8312400	8.1	-1.14	0.00	20.32	10.55	6.19	1219.03	50.25	107.46	0.00	
8316000	8.2	-1.12	0.00	20.20	10.55	6.75	1220.16	50.72	139.41	0.00	
8319600	8.8	-1.10	0.00	20.53	10.55	8.07	1184.50	49.83	221.94	4.90	
8323200	10.4	-0.99	0.00	20.87	10.55	6.23	1135.07	48.93	308.63	4.90	
8326800	10.8	-0.99	0.00	21.24	10.55	7.81	1075.94	47.89	357.89	2.80	
8330400	10.4	-1.02	0.00	21.18	10.55	8.97	997.82	48.11	388.59	2.80	
8334000	11.6	-0.92	0.00	21.30	10.55	9.55	942.77	47.72	408.94	2.80	
8337600	10.3	-1.05	0.00	21.39	10.55	12.33	903.98	47.59	431.67	2.80	
8341200	10.4	-1.04	0.00	21.42	10.55	7.17	876.64	47.56	422.33	2.80	
8344800	13.3	-0.78	0.00	21.53	10.55	6.05	893.83	47.28	383.83	2.80	
8348400	9.3	-1.23	0.00	22.30	10.55	5.30	905.94	45.28	353.85	7.00	
8352000	12.8	-0.89	0.00	22.25	10.55	5.21	914.47	45.37	348.73	7.00	
8355600	12.3	-0.96	0.00	22.51	10.55	9.68	969.09	44.77	379.31	8.40	
8359200	9.6	-1.19	0.00	22.28	10.55	11.08	1044.02	45.52	436.19	8.40	
8362800	9.5	-1.19	0.00	22.13	10.55	7.69	1096.83	46.06	471.36	8.40	
8366400	10.5	-1.08	0.00	22.04	10.55	7.14	1134.04	46.43	429.29	1.40	
8370000	10.5	-1.07	0.00	21.91	10.55	6.34	1160.27	46.84	350.63	1.40	
8373600	10	-1.10	0.00	21.73	10.55	5.08	1178.74	47.47	329.81	1.40	
8377200	9.5	-1.12	0.00	21.50	10.55	3.72	1191.77	48.26	277.27	0.00	
8380800	7.5	-1.28	0.00	21.25	10.64	3.45	1200.94	49.03	200.57	0.00	
