T_Außen;Q_Solar;Q_intern;Q_Transmission;Q_Lüftung;Q_Heizen/Kühlen;Raumtemperatur;Raumtemperatur;Te_gl.Mittel;Q_el_need;Q_el_prod;Q_storage;Q_selfuse;Q_feed-in;Q_from-grid;CO2-Konzentration;Raumfeuchte;Nutzung;Monat;Tag im Monat;Stunde am Tag;Tag im Jahr;Stunde im Jahr;I_glob
20;-1,98;0,46;1,38;0,18;0;19,03;19,03;19,68;0,03;0;0;0;0;0,03;399,98;58,51;2;1;6;7;6;127;0
20;-1,98;0,46;1,38;0,18;0;19,03;19,03;19,68;0,03;0;0;0;0;0,03;399,98;58,51;2;1;6;8;6;128;0
20;-1,98;0,46;1,38;0,18;0;19,03;19,03;19,68;0;0;0;0;0;0;399,98;58,5;2;1;6;9;6;129;0
20;-1,98;0,46;1,38;0,18;0;19,03;19,03;19,68;0;0;0;0;0;0;399,98;58,5;2;1;6;10;6;130;0
20;-1,98;0,46;1,37;0,18;0;19,03;19,03;19,68;0;0;0;0;0;0;399,98;58,49;2;1;6;11;6;131;0
20;-1,98;0,46;1,37;0,18;0;19,03;19,03;19,68;0;0;0;0;0;0;399,98;58,49;2;1;6;12;6;132;0
20;-1,98;0,46;1,37;0,18;0;19,03;19,03;19,68;0,03;0;0;0;0;0,03;399,98;58,48;2;1;6;13;6;133;0
20;-1,98;0,46;1,37;0,18;0;19,04;19,04;19,68;0;0;0;0;0;0;399,98;58,48;2;1;6;14;6;134;0
20;-1,98;0,46;1,37;0,17;0;19,04;19,04;19,68;0;0;0;0;0;0;399,98;58,48;2;1;6;15;6;135;0
20;-1,98;0,46;1,37;0,17;0;19,04;19,04;19,68;0;0;0;0;0;0;399,98;58,47;2;1;6;16;6;136;0
20;-1,98;0,46;1,36;0,17;0;19,04;19,04;19,68;0;0;0;0;0;0;399,98;58,47;2;1;6;17;6;137;0
20;-1,98;0,46;1,36;0,17;0;19,04;19,04;19,68;0,03;0;0;0;0;0,03;399,98;58,46;2;1;6;18;6;138;0
20;-1,98;0,46;1,36;0,17;0;19,04;19,04;19,68;0,03;0;0;0;0;0,03;399,98;58,46;2;1;6;19;6;139;0
20;-1,98;0,46;1,36;0,17;0;19,04;19,04;19,68;0;0;0;0;0;0;399,98;58,46;2;1;6;20;6;140;0
20;-1,98;0,46;1,36;0,17;0;19,04;19,04;19,68;0;0;0;0;0;0;399,98;58,45;2;1;6;21;6;141;0
20;-1,98;0,46;1,36;0,17;0;19,04;19,04;19,68;0;0;0;0;0;0;399,98;58,45;2;1;6;22;6;142;0
20;-1,98;0,46;1,35;0,17;0;19,05;19,05;19,68;0;0;0;0;0;0;399,98;58,44;2;1;6;23;6;143;0
20;-1,98;0,46;1,35;0,17;0;19,05;19,05;19,68;0;0;0;0;0;0;399,98;58,44;2;1;6;24;6;144;0
20;-1,98;0,46;1,35;0,17;0;19,05;19,05;19,87;0;0;0;0;0;0;399,98;58,44;2;1;7;1;7;145;0
20;-1,98;0,46;1,35;0,17;0;19,05;19,05;19,87;0;0;0;0;0;0;399,98;58,43;2;1;7;2;7;146;0
20;-1,98;0,46;1,35;0,17;0;19,05;19,05;19,87;0;0;0;0;0;0;399,98;58,43;2;1;7;3;7;147;0
20;-1,98;0,46;1,35;0,17;0;19,05;19,05;19,87;0;0;0;0;0;0;399,98;58,43;2;1;7;4;7;148;0
20;-1,98;0,46;1,35;0,17;0;19,05;19,05;19,87;0;0;0;0;0;0;399,98;58,43;2;1;7;5;7;149;0
20;-1,98;0,46;1,34;0,17;0;19,05;19,05;19,87;0,03;0;0;0;0;0,03;399,98;58,42;2;1;7;6;7;150;0
20;-1,98;0,46;1,34;0,17;0;19,05;19,05;19,87;0,03;0;0;0;0;0,03;399,98;58,42;2;1;7;7;7;151;0
20;-1,98;0,46;1,34;0,17;0;19,05;19,05;19,87;0,03;0;0;0;0;0,03;399,98;58,42;2;1;7;8;7;152;0
20;-1,98;0,46;1,34;0,17;0;19,06;19,06;19,87;0;0;0;0;0;0;399,98;58,41;2;1;7;9;7;153;0
20;-1,98;0,46;1,34;0,17;0;19,06;19,06;19,87;0;0;0;0;0;0;399,98;58,41;2;1;7;10;7;154;0
20;-1,98;0,46;1,34;0,17;0;19,06;19,06;19,87;0;0;0;0;0;0;399,98;58,41;2;1;7;11;7;155;0
20;-1,98;0,46;1,34;0,17;0;19,06;19,06;19,87;0;0;0;0;0;0;399,98;58,41;2;1;7;12;7;156;0
20;-1,98;0,46;1,34;0,17;0;19,06;19,06;19,87;0,03;0;0;0;0;0,03;399,98;58,4;2;1;7;13;7;157;0
20;-1,98;0,46;1,34;0,17;0;19,06;19,06;19,87;0;0;0;0;0;0;399,98;58,4;2;1;7;14;7;158;0
20;-1,98;0,46;1,33;0,17;0;19,06;19,06;19,87;0;0;0;0;0;0;399,98;58,4;2;1;7;15;7;159;0
20;-1,98;0,46;1,33;0,17;0;19,06;19,06;19,87;0;0;0;0;0;0;399,98;58,4;2;1;7;16;7;160;0
20;-1,98;0,46;1,33;0,17;0;19,06;19,06;19,87;0;0;0;0;0;0;399,98;58,39;2;1;7;17;7;161;0
20;-1,98;0,46;1,33;0,17;0;19,06;19,06;19,87;0,03;0;0;0;0;0,03;399,98;58,39;2;1;7;18;7;162;0
20;-1,98;0,46;1,33;0,17;0;19,06;19,06;19,87;0,03;0;0;0;0;0,03;399,98;58,39;2;1;7;19;7;163;0
20;-1,98;0,46;1,33;0,17;0;19,06;19,06;19,87;0;0;0;0;0;0;399,98;58,39;2;1;7;20;7;164;0
20;-1,98;0,46;1,33;0,17;0;19,06;19,06;19,87;0;0;0;0;0;0;399,98;58,39;2;1;7;21;7;165;0
20;-1,98;0,46;1,33;0,17;0;19,06;19,06;19,87;0;0;0;0;0;0;399,98;58,38;2;1;7;22;7;166;0
20;-1,98;0,46;1,33;0,17;0;19,06;19,06;19,87;0;0;0;0;0;0;399,98;58,38;2;1;7;23;7;167;0
20;-1,98;0,46;1,33;0,17;0;19,07;19,07;19,87;0;0;0;0;0;0;399,98;58,38;2;1;7;24;7;168;0
20;-1,98;0,46;1,33;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,38;1;1;8;1;8;169;0
20;-1,98;0,46;1,33;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,38;1;1;8;2;8;170;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,37;1;1;8;3;8;171;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,37;1;1;8;4;8;172;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,37;1;1;8;5;8;173;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0,03;0;0;0;0;0,03;399,98;58,37;1;1;8;6;8;174;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0,03;0;0;0;0;0,03;399,98;58,37;1;1;8;7;8;175;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0,03;0;0;0;0;0,03;399,98;58,37;1;1;8;8;8;176;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,37;1;1;8;9;8;177;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,36;1;1;8;10;8;178;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,36;1;1;8;11;8;179;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,36;1;1;8;12;8;180;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0,03;0;0;0;0;0,03;399,98;58,36;1;1;8;13;8;181;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,36;1;1;8;14;8;182;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,36;1;1;8;15;8;183;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,36;1;1;8;16;8;184;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,35;1;1;8;17;8;185;0
20;-1,98;0,46;1,32;0,17;0;19,07;19,07;20;0,03;0;0;0;0;0,03;399,98;58,35;1;1;8;18;8;186;0
20;-1,98;0,46;1,31;0,17;0;19,07;19,07;20;0,03;0;0;0;0;0,03;399,98;58,35;1;1;8;19;8;187;0
20;-1,98;0,46;1,31;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,35;1;1;8;20;8;188;0
20;-1,98;0,46;1,31;0,17;0;19,07;19,07;20;0;0;0;0;0;0;399,98;58,35;1;1;8;21;8;189;0
