time,br_temp,br_humi,ma_temp,ma_humi,meter0_power_L123,meter2_power_L123,meter2_power_L123
2022-06-04 03:15:00+02:00,22.1358,47.05,22.5105,46.9924,35.8905,0.0,0.0
2022-06-04 03:16:00+02:00,22.1331,47.05,22.5135,47.0077,37.0128,0.0,0.0
2022-06-04 03:17:00+02:00,22.1291,47.03,22.5089,46.9039,127.548,0.0,0.0
2022-06-04 03:18:00+02:00,22.1264,47.05,22.5043,46.9985,117.579,0.0,0.0
2022-06-04 03:19:00+02:00,22.1304,47.05,22.5043,46.9985,111.387,0.0,0.0
2022-06-04 03:20:00+02:00,22.1237,46.96,22.5043,47.1175,107.308,0.0,0.0
2022-06-04 03:21:00+02:00,22.1223,47.05,22.4982,47.0077,111.555,0.0,0.0
2022-06-04 03:22:00+02:00,22.121,47.05,22.4982,47.0077,103.277,0.0,0.0
2022-06-04 03:23:00+02:00,22.1183,47.05,22.4921,46.9985,103.994,0.0,0.0
2022-06-04 03:24:00+02:00,22.1142,47.05,22.4921,46.9039,107.75,0.0,0.0
2022-06-04 03:25:00+02:00,22.121,47.05,22.4906,46.9039,98.4918,0.0,0.0
2022-06-04 03:26:00+02:00,22.1183,47.05,22.4906,47.0107,100.232,0.0,0.0
2022-06-04 03:27:00+02:00,22.1155,47.04,22.4906,46.9985,103.198,0.0,0.0
2022-06-04 03:28:00+02:00,22.1115,47.04,22.486,46.9985,98.7687,0.0,0.0
2022-06-04 03:29:00+02:00,22.1088,47.04,22.4891,47.0077,97.9728,0.0,0.0
2022-06-04 03:30:00+02:00,22.1074,46.98,22.4891,46.9955,36.6906,0.0,0.0
2022-06-04 03:31:00+02:00,22.1074,47.05,22.486,46.9985,34.4883,0.0,0.0
2022-06-04 03:32:00+02:00,22.0952,47.05,22.4845,46.9985,36.3683,0.0,0.0
2022-06-04 03:33:00+02:00,22.0952,47.04,22.4799,47.0046,37.2934,0.0,0.0
2022-06-04 03:34:00+02:00,22.1047,46.99,22.4799,47.0626,37.0877,0.0,0.0
2022-06-04 03:35:00+02:00,22.1034,47.03,22.4769,47.0107,37.1615,0.0,0.0
2022-06-04 03:36:00+02:00,22.0952,47.04,22.4738,47.0046,31.7492,0.0,0.0
2022-06-04 03:37:00+02:00,22.0952,47.04,22.4723,47.0077,36.2825,0.0,0.0
2022-06-04 03:38:00+02:00,22.0871,47.04,22.4708,47.1145,29.9943,0.0,0.0
2022-06-04 03:39:00+02:00,22.0939,47.04,22.4693,46.9985,28.3347,0.0,0.0
2022-06-04 03:40:00+02:00,22.0885,47.0,22.4662,47.0077,35.1553,0.0,0.0
2022-06-04 03:41:00+02:00,22.0817,46.95,22.4662,47.0077,31.5385,0.0,0.0
2022-06-04 03:42:00+02:00,22.0817,46.95,22.4647,47.1175,33.36,0.0,0.0
2022-06-04 03:43:00+02:00,22.0831,46.95,22.4647,47.1267,29.6063,0.0,0.0
2022-06-04 03:44:00+02:00,22.075,47.0,22.4616,47.203,37.1019,0.0,0.0
2022-06-04 03:45:00+02:00,22.0695,46.98,22.4555,47.1236,33.4636,0.0,0.0
2022-06-04 03:46:00+02:00,22.0763,47.04,22.4525,47.0321,35.0829,0.0,0.0
2022-06-04 03:47:00+02:00,22.0695,47.04,22.4494,47.1053,36.0041,0.0,0.0
2022-06-04 03:48:00+02:00,22.0695,46.99,22.4464,47.1236,36.8148,0.0,0.0
2022-06-04 03:49:00+02:00,22.0519,47.02,22.4464,47.1053,36.2926,0.0,0.0
2022-06-04 03:50:00+02:00,22.0655,47.04,22.4464,47.1053,36.5257,0.0,0.0
2022-06-04 03:51:00+02:00,22.0601,47.03,22.4433,46.9955,32.9865,0.0,0.0
2022-06-04 03:52:00+02:00,22.0519,46.95,22.4372,46.9985,33.5004,0.0,0.0
2022-06-04 03:53:00+02:00,22.0533,46.95,22.4342,47.1053,33.2455,0.0,0.0
2022-06-04 03:54:00+02:00,22.0465,46.95,22.4311,46.9008,34.3347,0.0,0.0
2022-06-04 03:55:00+02:00,22.0519,46.95,22.425,46.9985,31.1652,0.0,0.0
2022-06-04 03:56:00+02:00,22.0506,46.95,22.4281,47.1633,25.2159,0.0,0.0
2022-06-04 03:57:00+02:00,22.0493,46.95,22.4265,46.9985,32.5732,0.0,0.0
2022-06-04 03:58:00+02:00,22.0465,46.95,22.4281,46.9985,26.4252,0.0,0.0
2022-06-04 03:59:00+02:00,22.0465,46.95,22.4235,46.9985,34.4967,0.0,0.0
2022-06-04 04:00:00+02:00,22.0357,46.95,22.4174,46.9985,34.2667,0.0,0.0
2022-06-04 04:01:00+02:00,22.0384,46.95,22.4143,47.0992,35.1262,0.0,0.0
